"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Uttar Pradesh State Warehousing Corporation","UP STATE WAREHOUSE MANDI SAMITI PARATAWAL","6598056","MANDI SAMITI PARATAWAL,","Mahrajganj","UTTAR PRADESH","5000","28-Jun-2022","27-Jun-2027","9076518914","Active",""
"Uttar Pradesh State Warehousing Corporation","UP State Warehouse IA Gorakhpur (GIDA)","6540819","GIDA Sector 22,","Gorakhpur","UTTAR PRADESH","30240","10-Nov-2021","09-Nov-2026","9076518912","Active",""
"Uttar Pradesh State Warehousing Corporation","swc gajraula","6547566","INDUSTRIAL AREA SWC GAJRAULA, swc gajraula","Jyotiba Phule Nagar","UTTAR PRADESH","61576","24-Dec-2021","23-Dec-2026","9076518921","Active",""
"Uttar Pradesh State Warehousing Corporation","bangarmau","6572762","unnao hardoi road,","Unnao","UTTAR PRADESH","8730","29-Apr-2022","28-Apr-2027","9076518951","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC SIKANDRARAU","6534515","NAVEEN MANDI SIKANDRARAU,","Mahamaya Nagar","UTTAR PRADESH","3000","29-Sep-2021","28-Sep-2026","6390007134","Active",""
"Uttar Pradesh State Warehousing Corporation","Upswc jamaur-A","6539647","up state warehosing, jalala bad road, jamaur - A shahjahanpur,","Shahjahanpur","UTTAR PRADESH","66515","31-Oct-2021","30-Oct-2026","9076518982","Active",""
"Uttar Pradesh State Warehousing Corporation","peg jhijhak","6648729","krishi utpadan mandi samiti, jhijhak","Kanpur Dehat","UTTAR PRADESH","5000","02-Nov-2022","01-Nov-2027","6386891320","Active",""
"Uttar Pradesh State Warehousing Corporation","up state warehousing corporation mandi samiti rampur","6537302","up state warehousing corporation mandi samiti rampur, up state warehousing corporation mandi samiti rampur","Rampur","UTTAR PRADESH","5000","22-Oct-2021","21-Oct-2026","9076518923","Active",""
"Uttar Pradesh State Warehousing Corporation","UP STATE WAREHOUSE RASAHARA","6650618","VILLAGE RASAHARA POST MADHOPUR DIST. SANTKABIRNAGAR,","Sant Kabir Nagar","UTTAR PRADESH","20000","09-Nov-2022","08-Nov-2027","9161537244","Inactive","EFFECTIVE CONTROL EXPIRED"
"Uttar Pradesh State Warehousing Corporation","PEG MALIHAMAU","6572408","UPSWC,","Hardoi","UTTAR PRADESH","26667","29-Apr-2022","28-Apr-2027","9076518947","Active",""
"Uttar Pradesh State Warehousing Corporation","U.P. STATE WAREHOUSE JAYAS","6594998","Krishi Utpadan Mandi Samiti Bahadurpur, Amethi, U.P., Krishi Utpadan Mandi Samiti Bahadurpur, Amethi, U.P.","Sultanpur","UTTAR PRADESH","10600","13-Jun-2022","12-Jun-2027","9076518959","Active",""
"Uttar Pradesh State Warehousing Corporation","SITAPUR MANDI","6566822","UPSWC,","Sitapur","UTTAR PRADESH","14840","30-Mar-2022","29-Mar-2027","6386909015","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC Hathras","5931645","UP State warehousing corporation Naveen Mandi Aligarh Road Hathras,","Mahamaya Nagar","UTTAR PRADESH","9524","06-Jul-2021","05-Jul-2026","9076519028","Active",""
"Uttar Pradesh State Warehousing Corporation","PEG BASANTPUR","6642243","TENDAWA BASANTPUR, NEAR BUDDHA RESORT LKO ROAD","Bahraich","UTTAR PRADESH","80000","17-Oct-2022","16-Oct-2027","9076518967","Inactive","EFFECTIVE CONTROL EXPIRED"
"Uttar Pradesh State Warehousing Corporation","SWC Jalaun","6735039","Naveen Mandi Sthal, Lona Road","Jalaun","UTTAR PRADESH","11400","13-Jun-2023","12-Jun-2028","9076518819","Active",""
